processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBMND20025-21	MN175853	12797130		MN175853	Mined from GenBank, NCBI		BOLD:AEH8442	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	1069474	Lepus schlumbergeri																									28.6876	-8.81721	Coordinates from country centroid						Morocco													
GBMNF2395-22	OL374034	15264826	KS12	OL374034	Mined from GenBank, NCBI		BOLD:ACH3374	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	914570	Lepus tibetanus																																														
GBMNF2397-22	OL374036	15264828	KS14	OL374036	Mined from GenBank, NCBI		BOLD:ACH3276	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	914570	Lepus tibetanus																																														
GBMNF2404-22	OL374021	15264835	TX15	OL374021	Mined from GenBank, NCBI		BOLD:ACH3374	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	914570	Lepus tibetanus																																														
GBMNF2417-22	OL374017	15264848	TX28	OL374017	Mined from GenBank, NCBI		BOLD:ACH3374	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	914570	Lepus tibetanus																																														
GBMNF2426-22	OL374038	15264857	WuQia1	OL374038	Mined from GenBank, NCBI		BOLD:ACH3374	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	914570	Lepus tibetanus																																														
MEP240-08	ZMMU AALS-415	969864		AALS-415	Zoological Museum of Moscow University		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	112231	Lepus timidus			Andrey A. Lissovsky		Linnaeus, 1758					Andrey A. Lissovsky													Taldom		56.75	37.74							Russia	Moskovskaya Oblast	Taldomskiy District	vicinity of Dmitrovka										
MXBRO034-11	CIBNOR 17682	2006400	17682	25_JE	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					J. Espinoza Gomez								M	S				Topotype Lepus californicus xanti		23.1902	-109.761			185				Mexico	Baja California Sur	Los Cabos	Santa Anita	Santa Anita									
MXBRO036-11	CIBNOR 17684	2006402	17684	27_JE	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					J. Espinoza Gomez								M	S				Topotype Lepus californicus xanti		23.1902	-109.761			185				Mexico	Baja California Sur	Los Cabos	Santa Anita	Santa Anita									
MXBRO123-11	CIBNOR 17691.KD01	2006489	17691	3139_MDLPC	Centro de Investigaciones Biologicas del Noroeste S. C.			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Mayra De la Paz Cuevas								M	S						24.0545	-110.976			10				Mexico	Baja California Sur	Reforma Agraria	7 km S, 6 km W Reforma Agraria	7 km S, 6 km W Reforma Agraria									
MXBRO134-11	CIBNOR 17680.KD01	2006500	17680	5345_STAC	Centro de Investigaciones Biologicas del Noroeste S. C.			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Ticul Alvarez								F	S						24.0244	-110.662			187				Mexico	Baja California Sur	La Paz	11 km S, 28 km W La Paz	11 km S, 28 km W La Paz									
MXBRO142-11	UCMVZ-206884	2006508	206884	6_ALI	University of California, Berkeley, Museum of Vertebrate Zoology			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			James L. Patton		Gray, 1837					Allison L. Ivancovich								M	S						37.6474	-121.818			580				United States	California	Alameda County	2402 Pomino Way, Pleasanton	2402 Pomino Way, Pleasanton									
MXBRO161-11	CIBNOR 16463.KD01	2006527	16463	768_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo								F	S						27.6106	-113.028			1187				Mexico	Baja California Sur	San Francisco de la Sierra	Palo de Rayo, Sierra de San Francisco	Palo de Rayo, Sierra de San Francisco									
MXBRO170-11	CIBNOR 17670.KD01	2006536	17670	5357_STAC	Centro de Investigaciones Biologicas del Noroeste S. C.			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Ticul Alvarez								F	S						24.0545	-110.976			10				Mexico	Baja California Sur	Reforma Agraria	7 km S, 6 km W Reforma Agraria	7 km S, 6 km W Reforma Agraria									
MXBRO174-11	CIBNOR 18641.KD01	2006540	18641	3151_MDLPC	Centro de Investigaciones Biologicas del Noroeste S. C.			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Mayra De la Paz Cuevas								F	S						27.4017	-109.019			9				Mexico	Baja California Sur	Guerrero Negro	Corral de Berrendos, 61 km S, 5 km W Guerrero Negro	Corral de Berrendos, 61 km S, 5 km W Guerrero Negr									
MXTOP932-10	CIBNOR 13441	1561674	13441	186_JVP	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837		Vouchered:Registered Collection			Jorge Vazquez Perez								F	S					WGS84	24.634	-110.741			5				Mexico	Baja California Sur	LA PAZ		10 km W, 33 km N San Juan de la Costa									
PMBC089-11	CIBNOR 18980	1929556	18980	1569_STAC	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	F	S						24.46	-111.844							Mexico	Baja California Sur	Isla Margarita	Isla Margarita	Isla Margarita									
TOPO004-09	CIBNOR 2353	1263423	2353	960_PCC	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Patricia Cortes-Calva							A	F	S						29.395	-114.363			655				Mexico		Baja California Norte	Cirios	Laguna Chapala, Desert									
TOPO007-09	CIBNOR 8422	1263426	8422	560_MDLPC	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Mayra De la Paz Cuevas							A	F	S						27.1183	-112.967			48				Mexico	Baja California Sur	Vizcaino	17 km S, 5 km W San Ignacio	Plain									
TOPO021-09	CIBNOR 8674	1263440	8674	5117_STAC	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Sergio Ticul Alvarez Castaneda							A	F	S						24.6336	-110.741			5				Mexico	Baja California Sur	Giganta	10 km W, 33 km N San Juan de la Costa	Desert									
